tanglish,tamil
raizhway sdhadhioon epoo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway stateeon eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla yellarrum yeptee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
saptioon nazhzha irrookoo,கேப்ஷன் நல்லா இருக்கு.
raaizhwaay stateeon yepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa ezhzharoom yepdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
innikoo seema vipee,இன்னைக்கு செம வைப்.
waazhkaaiyizh vethri peroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
thaangaachi enga pona,தங்கச்சி எங்க போன?
veethla yelaarum yepdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
weeeedu veelai mudinjaadhu,வீட்டு வேலை முடிஞ்சது.
enaa yaaaachu,என்ன ஆச்சு?
uyir naallaa valoom,உயிர் நல்லா வாழும்.
veethlaa yelaarum epti irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raaizhwaay sdhadhion eppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
roomba kavalaiya eerruku,ரொம்ப கவலையா இருக்கு.
raailwaay sdhadhion eepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethla ellarrum yeepti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
baalli koooodam poonoom,பள்ளி கூடம் போனோம்.
eenneeku velaai irugu,இன்னைக்கு வேலை இருக்கு.
sthaathus baaaarthiyaa,ஸ்டேட்டஸ் பார்த்தியா?
coolege eeppo mudeeyum,கல்லூரி எப்போ முடியும்?
vedhla yellarroom yeptee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
frriendu caall banran,பிரெண்டு கால் பண்றான்.
innigoo velaai irookoo,இன்னைக்கு வேலை இருக்கு.
ooyir nazhzha valum,உயிர் நல்லா வாழும்.
poos staand engaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
oorravinarrgal wantanga,உறவினர்கள் வந்தாங்க.
weetlaa yellaarrum epti irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vethla yellarrum eebdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay sdhadhion yeepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weetlaa yelaarum epdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
dhrogam seyyaadhe,துரோகம் செய்யாதே.
frriendoo cal paanraan,பிரெண்டு கால் பண்றான்.
nambikai taan yelaam,நம்பிக்கை தான் எல்லாம்.
addeendancee vandhoocha,வருகைப்பதிவு வந்துச்சா?
witla ezhzharoom epdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rrombaa kavalaiya eerugu,ரொம்ப கவலையா இருக்கு.
vethla yeelarum yepdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
trenting videeo adhu,டிரெண்டிங் வீடியோ அது.
witla yellarroom eebdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
waazhkaaiyizh vethri peruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
czhass eppo yaaaarraambaam,வகுப்பு எப்போ ஆரம்பம்?
veethlaa yellaarrum ebdee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raaizhwaay stateeon eppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
